patent_no,title,
9649691,Method of producing rare earth alloy flakes,
9649682,Method of assembling a structure using highly-deformable titanium and titanium-alloy one-piece fasteners,
9647205,Integrated circuit shielding technique utilizing stacked die technology incorporating top and bottom nickel-iron alloy shields having a low coefficient of thermal expansion,
9646975,Lateral stack of cobalt and a cobalt-semiconductor alloy for control gate electrodes in a memory structure,
9644280,"Process for electrolytically depositing a tin- and ruthenium-based alloy, the electrolytic bath therefore and the alloy obtained therewith",
9644279,Zinc-nickel alloy plating solution and plating method,
9644251,Cu--Zr-based copper alloy plate and process for manufacturing same,
9644250,Copper alloy sheet for electric and electronic part,
9643283,Aluminum alloy brazing sheet and method for producing the same,
9643253,Method and device for recovering hydrogen pulverized powder of raw-material alloy for rare-earth magnet,
9643250,"Method of controlling the corrosion rate of alloy particles, alloy particle with controlled corrosion rate, and articles comprising the particle",
9638343,Sharp-phase change shape memory alloy thermal actuator,
9638075,High performance nickel-based alloy,
9637179,Aluminum alloy vehicle structural component defining an out-of-plane aperture,
9636784,Mixed alloy solder paste,
9634324,Nickel-metal hydride battery and method for producing hydrogen storage alloy,
9634123,FinFET device including a dielectrically isolated silicon alloy fin,
9631879,Aluminum alloy for extrusion and drawing processes,
9631878,Process for producing aluminum alloy tube having sacrificial anticorrosion layer and joining layer,
9631268,Methods and systems for shape memory alloy structures,
9631261,Low-cost alpha-beta titanium alloy with good ballistic and mechanical properties,
9631260,Copper alloy sheets for electrical/electronic part,
9631157,Cu--Ni--Sn alloy overlay for bearing surfaces on oilfield equipment,
9630834,Wafer scale monolithic CMOS-integration of free- and non-free-standing Metal- and Metal alloy-based MEMS structures in a sealed cavity,
9630251,Titanium alloy,
9630161,Metal alloy nanoparticle synthesis via self-assembled monolayer formation and ultrasound,
9629873,Bioresorbable metal alloy and implants made of same,
9624568,Thermal spray applications using iron based alloy powder,
9624566,Alpha and beta titanium alloy sheet excellent in cold rollability and cold handling property and process for producing the same,
9624565,Nanocrystal-containing titanium alloy and production method therefor,
9624562,"Al alloy film for display or semiconductor device, display or semiconductor device having Al alloy film, and sputtering target",
9622885,"Collapsible, shape memory alloy structures and folding fixtures for collapsing same",
9620269,Method and equipment for processing NdFeB rare earth permanent magnetic alloy with hydrogen pulverization,
9620268,"R-T-B based alloy strip, and R-T-B based sintered magnet and method for producing same",
9617856,Ni base forged alloy and gas turbine utilizing the same,
9617629,Copper-nickel-zinc alloy containing silicon,
9617623,Aluminum alloy including iron-manganese complete solid solution and method of manufacturing the same,
9616639,Tin-plated copper-alloy material for terminal having excellent insertion/extraction performance,
9616495,Amorphous alloy and method for manufacturing the same,
9613648,"Aluminum alloy plate for magnetic disc substrate, method for manufacturing same, and method for manufacturing magnetic disc",
9611937,"Superelastic nickel-titanium alloy downhole seals, wellbore tools including such seals, and related methods",
9611741,Braze alloy compositions and brazing methods for superalloys,
9610656,Lead-free solder alloy for vehicle glass,
9610451,Direct integration of feedthrough to implantable medical device housing using a gold alloy,
9609874,Metallic glassy alloy powders for antibacterial coating,
9608277,Method for manufacturing alloy catalyst for fuel cell,
9608263,Anode material having a uniform metal-semiconductor alloy layer,
9608134,Processes for uniform metal semiconductor alloy formation for front side contact metallization and photovoltaic device formed therefrom,
9607742,"R-T-B based alloy strip, and R-T-B based sintered magnet and method for producing same",
9605334,Highly heat-resistant and high-strength Rh-based alloy and method for manufacturing the same,
9605333,Aluminum alloy forged material for automobile and method for manufacturing the same,
9604278,Amorphous alloy ribbon and method of producing the same,
9604267,Method for producing magnesium alloy sheet and magnesium alloy coil stock,
9603728,Bioerodible magnesium alloy microstructures for endoprostheses,
9601979,"Alloy material for R-T-B system rare earth permanent magnet, method for producing R-T-B system rare earth permanent magnet, and motor",
9601978,Aluminum alloy rotor for an electromagnetic device,
9599099,Thermal-powered device using memory alloy sheets,
9598749,"Rolled magnesium alloy material, magnesium alloy structural member, and method for producing rolled magnesium alloy material",
9597754,"Copper or copper alloy, bonding wire, method of producing the copper, method of producing the copper alloy, and method of producing the bonding wire",
9595282,Magnetic recording medium having a L1.sub.0-type ordered alloy,
9593398,Hardened cobalt based alloy jewelry and related methods,
9593397,Magnesium alloy with adjustable degradation rate,
9592772,"Zn--Al--Mg based alloy hot-dip plated steel sheet, and method for producing the same",
9592135,Radiopaque enhanced cobalt alloy for stents,
9590105,"Semiconductor device with metal alloy over fin, conductive layer over channel region of fin, and semiconductive layer over conductive layer and formation thereof",
9587770,".alpha. + .beta. type titanium alloy sheet for welded pipe, manufacturing method thereof, and .alpha. + .beta. type titanium alloy welded pipe product",
9587320,"Additive for acid zinc alloy plating bath, acid zinc alloy plating bath, and method for producing zinc alloy plated article",
9587299,"Copper alloy for electronic equipment, method for producing copper alloy for electronic equipment, rolled copper alloy material for electronic equipment, and part for electronic equipment",
9587295,Austenitic alloy,
9587293,Lead-free solder alloy,
9583770,Manufacturing of high capacity prismatic lithium-ion alloy anodes,
9583626,Silicon germanium alloy fins with reduced defects,
9581146,Smart susceptor for a shape memory alloy (SMA) actuator inductive heating system,
9581145,Shape memory alloy actuation system for variable area fan nozzle,
9580830,Method of preparing a magnesium alloy substrate for a surface treatment,
9580784,Aluminum alloy wire and method of producing the same,
9580773,Niobium based alloy that is resistant to aqueous corrosion,
9579723,Molybdenum-niobium alloy plate target material processing technique,
9574281,Silver-containing alloy plating bath and method for electrolytic plating using same,
9574259,Method for producing high-strength magnesium alloy material and magnesium alloy rod,
9574258,Aluminum-alloy sheet and method for producing the same,
9574257,Powder of an alloy based on uranium and on molybdenum useful for manufacturing nuclear fuels and targets intended for producing radioisotopes,
9574253,"Aluminum alloy material, aluminum alloy structure, and manufacturing method for same",
9574248,"Method for solution hardening of a cold deformed workpiece of a passive alloy, and a member solution hardened by the method",
9573228,Ni--Ti--CR near ternary eutectic alloy for gas turbine component repair,
9569913,Self-aligning termination for memory alloy wire,
9568047,"High-strength brass alloy for sliding member, and sliding member",
9567686,Aluminum oxide film remover and method for surface treatment of aluminum or aluminum alloy,
9567684,Method of obtaining a yellow gold alloy deposition by galvanoplasty without using toxic materials,
9567656,Nickel based alloy for forging,
9566746,Methods and tools for forming contoured composite structures with shape memory alloy,
9566367,Magnesium alloy and resorbable stents containing the same,
9564642,Durable fuel cell with platinum cobalt alloy cathode catalyst and selectively conducting anode,
9564254,"Aluminum alloy wire, and aluminum alloy twisted wire, covered electrical wire and wire harness using the same",
9562277,Magnesium alloy material and production process thereof,
9562276,Nickel alloy and articles,
9558872,"R-T-B rare earth sintered magnet, alloy for R-T-B rare earth sintered magnet, and method of manufacturing the same",
9558871,Fe-based amorphous alloy and dust core made using Fe-based amorphous alloy powder,
9555504,Method for assembling aluminum alloy parts by welding,
9555469,"Aluminum alloy casting and method for producing the same, and apparatus for producing slide member",
9555468,"Process and plant for producing components made of an aluminium alloy for vehicles and white goods, and components obtained thereby",
9555158,Nickel-free iron alloy for stents,
9551084,Sn alloy plating apparatus and Sn alloy plating method,
9551065,Al-based alloy sputtering target and Cu-based alloy sputtering target,
9551054,7xxx series aluminum alloy member excellent in stress corrosion cracking resistance and method for manufacturing the same,
9551051,Weldable oxidation resistant nickel-iron-chromium aluminum alloy,
9551050,"Aluminum alloy with additions of scandium, zirconium and erbium",
9551048,Atomized picoscale composition aluminum alloy and method thereof,
9548445,Amorphous alloy space for perpendicular MTJs,
9546829,Brazing sheet core alloy for heat exchanger,
9546740,Fluid cooled shape memory alloy actuated valve,
9546412,Powdered metal alloy composition for wear and temperature resistance applications and method of producing same,
9546411,Aluminum-alloy sheet and method for producing the same,
9546410,"Bronze alloy for musical instrument, and percussion instrument using the same",
9546098,Method for preparing aluminum-zirconium-boron alloy and synchronously preparing crylite,
9543588,Aluminum alloy foil for electrode collectors and production method therefor,
9543063,Continuous hydrogen pulverization method and production device of rare earth permanent magnetic alloy,
9541177,Ratcheting shape memory alloy actuators and systems and methods including the same,
9540712,Fine solid solution alloy particles and method for producing same,
9540711,Hardbanding alloy,
9539626,Method of rolling NiW alloy tapes for coated conductors,
9534308,Protecting anodes from passivation in alloy plating systems,
9534282,Method for manufacturing aluminum based alloy-made fastening part and aluminum based alloy-made fastening part,
9534280,"Austenitic iron-based alloy, turbocharger and component made thereof",
9533379,Phosphorous-copper base brazing alloy,
9533346,Systems and methods for forming and processing alloy ingots,
9533339,Method of producing a shaped Al alloy panel for aerospace applications,
9532493,Surface treating composition for copper and copper alloy and utilization thereof,
9531005,Synergistic multiphase hydride alloy,
9530627,Method for cleaning titanium alloy deposition,
9528171,"Alloy for seal ring, seal ring, and method of making seal ring for seal assembly of machine",
9527265,Polyethylene terephthelate part bonded to polyester and polycarbonate alloy part,
9524977,Metal-semiconductor alloy region for enhancing on current in a three-dimensional memory structure,
9524841,Heat detector with shape metal alloy element,
9523143,Oxidized-zirconium-alloy article and method therefor,
9523142,"Hot-dip zinc alloy coated steel sheet excellent in coating adhesion, and method for producing the same",
9523141,High strength Mg alloy and method for producing same,
9523140,Heat treatment process of high-Mg Er-microalloyed aluminum alloy cold-rolled plates resistant to intergranular corrosion,
9522220,Bioerodible magnesium alloy microstructures for endoprostheses,
9522219,Resorbable stents which contain a magnesium alloy,
9518566,Shape memory alloy actuation apparatus,
9518320,Copper alloy sputtering target,
9518314,Production method of extrusion billet and production method of magnesium alloy material,
9518313,"High strength, high toughness steel alloy",
9518312,"Al--Mg--Si-based, casting aluminum alloy with excellent yield strength and cast member made thereof",
9517547,Super hard alloy baseplate outer circumference cutting blade and manufacturing method thereof,
9514856,Copper alloy,
9512731,"Ni based forged alloy, and turbine disc, turbine spacer and gas turbine each using the same",
9512657,Horizontal pushed aluminum alloy window with anti-falling mechanisms,
9512510,High-strength aluminum alloy and process for producing same,
9512507,Silver-white copper alloy and method of producing silver-white copper alloy,
9512506,High strength and high conductivity copper alloy rod or wire,
9512331,"Surface treatment agent for zinc or zinc alloy coated steel sheet, zinc or zinc alloy coated steel sheet, and method of producing the steel sheet",
9511454,Welding activated flux for structural alloy steels,
9509014,Galvanic cell having a lithium metal or an alloy comprising a lithium metal as anode material and an electrolyte having lithium . . . complex salt,
9508990,Si-based-alloy anode material,
9508462,Sn-coated copper alloy strip having excellent heat resistance,
9506421,Cylinder liner and cast iron alloy,
9506296,Drill bit alloy,
9506163,Method of electroplating with Sn-alloy and apparatus of electroplating with Sn-alloy,
9506161,Surface treatment of a magnesium alloy,
9506134,Alloy strip material and process for making same,
9506133,Bulk metallic glass forming alloy,
9499914,Method for manufacturing zinc or zinc alloy coated steel sheet and zinc or zinc alloy coated steel sheet manufactured by the method,
9499899,"Systems, methods, and apparatus for production coatings of low-emissivity glass including a ternary alloy",
9499891,Zirconium-based alloy metallic glass and method for forming a zirconium-based alloy metallic glass,
9499887,Magnesium alloy sheet,
9499885,"Cu--Si--Co alloy for electronic materials, and method for producing same",
9496550,"Hydrogen storage alloy, hydrogen storage alloy electrode, secondary battery, and method for producing hydrogen storage alloy",
9496064,"Copper alloy for electric and electronic device, copper alloy sheet for electric and electronic device, conductive component for electric and electronic device, and terminal",
9493868,Aluminum or aluminum alloy-coated steel material and method of manufacturing the same,
9493867,Method of manufacturing a structural automotive part made from a rolled Al--Zn alloy,
9493866,"Amorphous alloy powder, dust core, magnetic element, and electronic device",
9493863,Wear-resistant alloy having complex microstructure,
9493862,Wear-resistant alloy having complex microstructure,
9493860,Chromium-containing austenitic alloy,
9493859,Manufacturing method of copper alloy sheet,
9493858,Copper alloy,
9492869,Double-alloy NdFeB rare earth permanent magnetic material and manufacturing method thereof,
9490477,Nickel-metal hydride storage battery including negative electrode containing yttrium substituted hydrogen storage alloy and electrolyte solution containing sodium hydroxide,
9490426,Multiple bit per cell dual-alloy GST memory elements,
9490039,Strip of Cu--Co--Si-based copper alloy for electronic materials and the method for producing the same,
9488241,Energy absorbers including shape memory alloy particles,
9486881,Aluminium alloy sheet product or extruded product for fluxless brazing,
9481921,Zirconium alloy composition having low hydrogen pick-up rate and high hydrogen embrittlement resistance and method of preparing the same,
9481920,Aluminium alloy forging and method of manufacture for same,
9481438,Outboard motor cowl assembly using shape memory alloy to actuate seal and/or latch,
9479699,Shape memory alloy actuation apparatus,
9478663,FinFET device including a uniform silicon alloy fin,
9478323,Cu--Si--Co-based copper alloy for electronic materials and method for producing the same,
9476474,Copper alloy wire and copper alloy spring,
9476113,Thermomechanical methodology for stabilizing shape memory alloy (SMA) response,
9476110,Nickel--chromium--iron--aluminum alloy having good processability,
9476109,Cu--Ni--Si--Co copper alloy for electronic material and process for producing same,
9475114,Continuous casting method for ingot produced from titanium or titanium alloy,
9472406,Metal semiconductor alloy contact resistance improvement,
9472383,Copper or copper alloy target/copper alloy backing plate assembly,
9469904,Surface processing method for a high hardness and abrasion resistant zinc alloy surface of imitation plating hexvalent chromium,
9469890,Iron vanadium powder alloy,
9469889,Ultrapure magnesium alloy with adjustable degradation rate,
9469888,Aluminum alloy for continuous casting and method for producing the same,
9469677,Biomimetic coating of magnesium alloy for enhanced corrosion resistance and calcium phosphate deposition,
9468959,Production method of seamless tube using round bar made of high Cr-high Ni alloy,
9468704,Implant made of a biodegradable magnesium alloy,
9466741,Digital alloy absorber for photodetectors,
9466660,"Semiconductor structures including molybdenum nitride, molybdenum oxynitride or molybdenum-based alloy material, and method of making such structures",
9464344,"Method for the thermomechanical treatment of a titanium alloy, and resulting alloy and prosthesis",
9464343,Ni-based casting alloy and steam turbine casting part using the same,
9464342,"Titanium, titanium alloy and NiTi foams with high ductility",
9463995,Refractory alloy and mineral wool production method,
9463274,Drug delivery pump drive using a shaped memory alloy wire,
9461305,Magnesium alloy fuel cell,
9460918,Epitaxy of high tensile silicon alloy for tensile strain applications,
9460825,"Cu-Co-Si-based copper alloy for electronic materials, and method of manufacturing same",
9458530,"Method of supplying Zn--Al alloy to molten zinc pot, method of adjusting concentration of Al in molten zinc bath, and apparatus for supplying Zn--Al alloy to molten",
9458527,Secondary titanium alloy and the art of its manufacture,
9458055,Solar-control glazing unit comprising a layer of a zinc and copper alloy,
9457542,"Joined body of dissimilar aluminum alloy materials, and vehicle door",
9457422,"Heat resistant alloy member, method for manufacturing the same, and method for repairing the same",
9456590,Amorphous alloy hooks and methods of making such hooks,
9455150,Conformal thin film deposition of electropositive metal alloy films,
9455058,High-strength and high-electrical conductivity copper alloy rolled sheet and method of manufacturing the same,
9453274,Cobalt-base alloy with high heat resistance and high strength and process for producing the same,
9453273,Aluminum alloy sheet with excellent paint-bake hardenability,
9452417,Catalyst using Pd-Ru solid solution alloy fine particles,
9450238,"Hydrogen absorption alloy, hydrogen absorption alloy electrode, and secondary battery",
9449827,Metal semiconductor alloy contact resistance improvement,
9447486,Ni-based alloy for casting used for steam turbine and casting component of steam turbine,
9447482,Magnesium-based alloy produced using a silicon compound and method for producing same,
9446220,Guide wire utilizing a cold worked nickel--titanium--niobium ternary alloy,
9445508,"Solder alloy, solder paste, and electronic circuit board",
9444224,Nitride laser diode with engineered non-uniform alloy composition in the n-cladding layer,
9443661,Power storage device having a nitroxyl polymer in a cathode and a lithium or lithium alloy anode,
9441302,Method for manufacturing Zn--Mg alloy-coated steel sheet having high blackening resistance and coating adhesion,
9441289,"High-purity copper or high-purity copper alloy sputtering target, process for manufacturing the sputtering target, and high-purity copper or high-purity copper alloy sputtered film",
9441287,"Ni-Cr-Co-based alloy having high-temperature corrosion resistance, and poppet valve surface-modified with the same",
9440315,Aluminum alloy heat exchanger and method of producing refrigerant tube used for the heat exchanger,
9440305,Method of resistance spot welding aluminum alloy workpieces,
9437405,Hot rolled plate made of copper alloy used for a sputtering target and sputtering target,
9435023,"Method for producing Cu-Ga alloy powder, Cu-Ga alloy powder, method for producing Cu-Ga alloy sputtering target, and Cu-Ga alloy sputtering target",
9435017,Manufacturing method of titanium alloy with high-strength and high-formability and its titanium alloy,
9435016,Cu-Ni-Si-based copper alloy plate having excellent deep drawing workability and method of manufacturing the same,
9434005,"Pb-free copper-alloy sliding material, and plain bearing",
9433889,"Palladium alloy membrane unit, storage structure thereof, and method of purifying hydrogen by using the same",
9431664,Method of preparing nickel-aluminum alloy powder at low temperature,
9431159,Iron cobalt ternary alloy nanoparticles with silica shells and metal silicate interface,
9430102,Touch interface using patterned bulk amorphous alloy,
9429254,Austenitic alloy pipe and method for producing the same,
9428744,Process for preparing a polymer/biological entities alloy,
9427830,Copper alloy bonding wire for semiconductor,
9427803,Alloy casting apparatus,
9427796,Method for continuously casting ingot made of titanium or titanium alloy,
9427500,Stent made of a cobalt alloy,
9425462,Preparation of hollow Pt and Pt-alloy catalysts,
9425014,Circuit interruption device employing shape memory alloy element,
9422615,Single step shape memory alloy expansion,
9422614,"Fe-based amorphous alloy, powder core using the same, and coil encapsulated powder core",
9422612,Aluminum alloy wire,
9422611,Al--Sc alloy manufacturing method,
9422198,Oxidized-zirconium-alloy article and method therefor,
9421740,Zirconium alloy for improving resistance to oxidation at very high temperature and fabrication method thereof,
9421607,Continuous casting of lead alloy strip for heavy duty battery electrodes,
9417197,Method of measuring thickness of Fe--Zn alloy phase of galvannealed steel sheet and apparatus for measuring the same,
9416878,Valve including a shape memory alloy member,
9416454,Method for conversion treating surface of magnesium alloy workpiece,
9416433,Copper alloy strip for lead frame of LED,
9415460,"Ni-base alloy weld metal, strip electrode, and welding method",
"D763,222",In-ear headphone device having a headphone housing made of titanium alloy,
9412840,Sacrificial layer for replacement metal semiconductor alloy contact formation,
9412482,Cu-Ni-Co-Si based copper alloy sheet material and method for producing the same,
9410445,Castable high temperature aluminum alloy,
9410251,Resin-coated aluminum alloy sheet and formed body using resin-coated aluminum alloy sheet,
9406803,FinFET device including a uniform silicon alloy fin,
9406557,Copper wiring forming method with Ru liner and Cu alloy fill,
9404173,Methods of preparing a surface of a cast zirconium alloy substrate for oxidation,
9402936,Medical devices having alloy compositions,
9402669,Method for producing a medical implant from a magnesium alloy,
9401488,Cobalt-carbon eutectic metal alloy ohmic contact for carbon nanotube field effect transistors,
9401443,Electrodeposition methods of gallium and gallium alloy films and related photovoltaic structures,
9401230,Cu-Ni-Si-Co copper alloy for electronic materials and manufacturing method thereof,
9399816,Refurbishing copper and indium containing alloy sputter targets and use of such targets in making copper and indium-based films,
9399808,Aluminum alloy sheet excellent in baking finish hardenability,
9399806,"Titanium alloy composition for the production of high-performance parts, in particular for the aeronautical industry",
9399805,Lead free dezincification alloy and method of making same,
9399254,"Clayish composition for forming sintered silver alloy body, powder for clayish composition for forming sintered silver alloy body, method for manufacturing clayish composition for forming sintered silver alloy body, sintered silver alloy body, and method for manufacturing sintered silver alloy body",
9399223,System and method of forming nanostructured ferritic alloy,
9397334,"Si alloy powder for negative electrode of lithium-ion secondary cell, and method for manufacturing same",
9397064,Aluminum alloy wire for bonding applications,
9396827,"Cu--Ti based copper alloy sheet material and method for producing the same, and electric current carrying component",
9394888,System with damper-controlled switch for shape memory alloy actuator motion control,
9394594,Low alloy steel with a high yield strength and high sulphide stress cracking resistance,
9394590,"Low .alpha.-dose tin or tin alloy, and method for producing same",
9394589,Ni-Si-Co copper alloy and manufacturing method therefor,
9391034,Interfacial alloy layer for improving electromigration (EM) resistance in solder joints,
9388799,Drive circuit for actuating a shape-memory alloy actuator,
9388763,Internal combustion engine with light metal alloy engine block and cast iron cylinder liners,
9388502,Button or fastener member of copper-plated aluminum or aluminum alloy and method of production thereof,
9388481,"High strength, oxidation and wear resistant titanium-silicon based alloy",
9385310,Phase change memory structure comprising phase change alloy center-filled with dielectric material,
9384889,Vacuum induction melting and strip casting equipment for rare earth permanent magnetic alloy,
9383143,Metallic thin-film bonding and alloy generation,
9382776,Wellbore isolation device made from a powdered fusible alloy matrix,
9382630,Zinc alloy coated steel sheet having good sealer adhesion and corrosion resistance and process of manufacturing the same,
9382596,Laser cladding Fe--Cr alloy on downhole tools,
9379012,Oxide mediated epitaxial nickel disilicide alloy contact formation,
9378850,Method for operating a nuclear reactor and use of a specific fuel rod cladding alloy in order to reduce damage caused by pellet/cladding interaction,
9376737,Method for producing zinc alloy,
9375788,Amorphous alloy component or feedstock and methods of making the same,
9373425,Copper alloy sheet with excellent heat dissipation and workability in repetitive bending,
9365931,Aluminum alloy with high seawater corrosion resistance and plate-fin heat exchanger,
9365917,Method of heat treating aluminum--lithium alloy to improve formability,
9365913,High-hardness hardfacing alloy powder,
9365078,Bearing-hub assembly with a light alloy hub,
9364918,Aluminum alloy propeller shaft and friction welding process thereof,
9364581,Medical implant comprising a biodegradable magnesium-based alloy and method for its manufacture,
9362370,Silicon carbide semiconductor device having nitrogen-containing silicon alloy for ohmic contact to P-type impurity region,
9362249,Silver--gold alloy bonding wire,
9359921,Sintered iron-based alloy valve seat,
9359683,Method of forming metal and metal alloy features,
9359662,Iron-carbon master alloy,
9359658,"Nickel-based superalloy, mechanical component made of the above mentioned super alloy, piece of turbomachinery which includes the above mentioned component and related methods",
9359211,Methods of fabricating graphene using alloy catalyst,
9358000,Tungsten alloy suture needles,
9357657,Lead-free solder alloy for printed circuit board assemblies for high-temperature environments,
9353431,High-strength aluminum alloy material and process for producing the same,
9353429,Aluminum alloy material for use in thermal conduction application,
9353427,"Ni-based alloy, and gas turbine rotor blade and stator blade each using same",
9353426,Silver-white copper alloy and method of producing silver-white copper alloy,
9352387,Method and plant for manufacturing light alloy castings by injection die casting with non-metallic cores,
9352377,Method of joining aluminium alloy sheets of the AA7000-series,
9352278,"Substrate surface structured with thermally stable metal alloy nanoparticles, a method for preparing the same and uses thereof, in particular as a catalyst",
9351547,Ferrous alloy for coining and method for producing the same,
9347558,Wrought and cast aluminum alloy with improved resistance to mechanical property degradation,
9347131,Coating substrates with an alloy by means of cathode sputtering,
9347123,Mg-base alloy,
9347118,Alloy composition,
9347117,Nd-based two-phase separation amorphous alloy,
9346345,Shape memory alloy active hatch vent,
9346131,Nickel-based solder alloy,
9346099,Unevenly spaced induction coil for molten alloy containment,
9346039,Method for preparing refractory alloy-based polymetallic oxide catalysts for the partial oxidation of hydrocarbons into synthesis gas,
9345819,Marker alloy,
9343737,"Hydrogen-absorbing alloy powder, negative electrode, and nickel hydrogen secondary battery",
9340857,Sintered alloy and production method therefor,
9340856,Ni--Fe--Cr alloy and engine valve welded with the same alloy,
9340853,Cu--Al--Ni--Fe alloy and sensor for measuring a physical parameter comprising a component made of such an alloy,
9340852,Elevated refractory alloy with ambient-temperature and low-temperature ductility and method thereof,
9340848,"Screw made of low-alloy carbon steel, and method for producing such a screw",
9340845,"Method for surface processing a zirconium or hafnium alloy, and component processed in this manner",
9339893,Lead-free solder alloy,
9339401,Medical device utilizing a nickel-titanium ternary alloy having high elastic modulus,
9339398,Radiopaque enhanced nickel alloy for stents,
9336955,"Niobium alloy, sintered body thereof, and capacitor using the same",
9336937,Co.sub.2Fe-based heusler alloy and spintronics devices using the same,
9335609,Driving system for shape memory alloy based actuator and camera module using same,
9334554,Magnesium alloy sheet,
9334551,Nickel beryllium alloy compositions,
9333556,Continuous casting method for slab made of titanium or titanium alloy,
9333099,Magnesium alloy implants with controlled degradation,
9332652,Process for etching a recessed structure filled with tin or a tin alloy,
9331264,Microelectromechanical resonators having degenerately-doped and/or eutectic alloy resonator bodies therein,
9331216,Core-shell nickel alloy composite particle metallization layers for silicon solar cells,
9331126,Method for fabricating flexible display using a shape memory alloy film,
9328977,Aluminum alloy heat exchanger,
9328423,Liquid trivalent chromate for aluminium or aluminium alloy and method for forming corrosion-resistant film over surface of aluminium or aluminium alloy by using same,
9328406,Shape setting a shape memory alloy dental arch,
9328405,Steel alloy for machine components,
9328403,Ni-based heat resistant alloy,
9328402,Nickel-base alloy for forging or rolling and steam turbine component made of the same,
9328401,"Copper alloy casting having excellent machinability, strength, wear resistance and corrosion resistance and method of casting the same",
9327365,Aluminum alloy brazng sheet for heat exchangers and aluminum alloy brazed article for heat exchangers,
9324960,"Semiconducting alloy polymers formed from orthocarborane and 1,4-diaminobenzene",
9324471,"Aluminum alloy wire rod, aluminum alloy stranded wire, coated wire, wire harness and manufacturing method of aluminum alloy wire rod",
9322966,Interference filter having Ag--Bi--Nd alloy film,
9322107,Polymers having terminal amino groups and use thereof as additives for zinc and zinc alloy electrodeposition baths,
9322106,Tin or tin alloy electroplating solution,
9322089,Nickel-base alloy for gas turbine applications,
9322086,Aluminum pressure casting alloy,
9322085,"High-strength brass alloy for sliding members, and sliding members",
9316243,Method for forming a joint in a stack of light metal alloy sheets,
9316212,Superelastic shape memory alloy overloading and overheating protection mechanism,
9315884,Watch-making or clock-making component comprising an amorphous metal alloy,
9314885,Shape memory alloy composite flexible substrates,
9314826,Method for the manufacture of an aluminium alloy plate product having low levels of residual stress,
9314675,Golf club head having a nanocrystalline titanium alloy,
9312367,FinFET with a silicon germanium alloy channel and method of fabrication thereof,
9312235,Aluminum-based alloy conductive wire used in semiconductor package and manufacturing method thereof,
9309584,Base material for high temperature alloy and manufacture method thereof,
9308090,Coating for a titanium alloy substrate,
9305470,Cu alloy film for display device and display device,
9303326,Acidic gold alloy plating solution,
9303304,Process for the creation of uniform grain size in hot worked spinodal alloy,
9303303,"Process for the heat treatment of cylinder heads made of an aluminium-based alloy, and cylinder heads having improved fatigue resistance properties",
9303300,"Melt-solidified substance, copper alloy for melt-solidification and method of manufacturing the same",
9303299,Method of production of aluminum alloy with refined Al--Fe--Si-based compounds and primary crystal Si,
9302928,"Amorphous alloy, molding die, and method for molding optical element",
9302449,High corrosion resistant hot dip Zn alloy plated steel sheet,
9301515,Horseshoe and copper-zinc alloy for a horseshoe,
9299472,Copper-alloy barrier layers for metallization in thin-film transistors and flat panel displays,
